State,County,Registration Date,Vehicle Make,Vehicle Model,Vehicle Model Year,Drivetrain Type,Vehicle GVWR Class,Vehicle GVWR Category,Vehicle Count,DMV Snapshot ID,DMV Snapshot (Date),Latest DMV Snapshot Flag
"TN","Shelby County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Cumberland County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Fayette County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Tipton County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Lawrence County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Sevier County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Lewis County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Robertson County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Grainger County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Hamblen County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Bledsoe County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Bedford County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Gibson County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Maury County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","DeKalb County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Decatur County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Madison County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Macon County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Coffee County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Humphreys County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Sullivan County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Fayette County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Madison County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Marshall County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Jefferson County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Maury County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Wilson County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Franklin County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Hickman County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Roane County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Carter County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Johnson County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Smith County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Anderson County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Chester County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Lauderdale County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Monroe County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Fentress County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Davidson County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Grainger County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Montgomery County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Roane County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Sumner County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Knox County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Sevier County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Sullivan County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Wayne County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Hamilton County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Maury County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Cocke County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Wilson County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Greene County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Marion County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Montgomery County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Cumberland County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Hardin County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Claiborne County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Washington County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Coffee County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Macon County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Henderson County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Union County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Cheatham County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Putnam County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Loudon County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Rhea County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Knox County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Bedford County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Lawrence County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Shelby County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Hamilton County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Blount County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Wilson County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Anderson County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Williamson County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Jefferson County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Knox County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Shelby County","3/1/2022","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,13,"DMV Snpashot (3/31/2022)",False
"TN","Shelby County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Greene County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Bledsoe County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Tipton County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Sevier County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Marshall County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Hamblen County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Madison County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Montgomery County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Overton County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Unicoi County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Bradley County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Gibson County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Lawrence County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Robertson County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Lewis County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Grainger County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Carter County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Monroe County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Bedford County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Macon County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Sullivan County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Humphreys County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Lauderdale County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Jefferson County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Carter County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Maury County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Stewart County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Smith County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Sullivan County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Marshall County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Dickson County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Franklin County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Lincoln County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Macon County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Sevier County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Hamblen County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Washington County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Roane County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Coffee County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Robertson County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Sumner County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Grainger County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Maury County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Williamson County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Sullivan County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Loudon County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Claiborne County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Coffee County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Henderson County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Marion County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Hardin County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Wilson County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Sullivan County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Cumberland County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Washington County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Putnam County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Union County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Jefferson County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Sumner County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Dickson County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Bedford County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Shelby County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Williamson County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Davidson County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Hamilton County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Blount County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Knox County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Wilson County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Coffee County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Williamson County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Jefferson County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Anderson County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Shelby County","12/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,4,"DMV Snpashot (12/31/2019)",False
"TN","Greene County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Monroe County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Grainger County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Wilson County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Overton County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Sevier County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Tipton County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Anderson County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Lawrence County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Gibson County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Carter County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Bledsoe County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Sullivan County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Unicoi County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Fayette County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Coffee County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Robertson County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Dickson County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Sullivan County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
"TN","Stewart County","3/1/2019","CHEVROLET","VOLT","2013","PHEV","1","Light-Duty (Class 1-2A)",1,1,"DMV Snpashot (3/31/2019)",False
